% Moku:Pro Spectrum Analyzer
% Input A
% Input B
% Start freq 10 Hz, stop freq 1.000 kHz, RBW 4.700 Hz (Manual mode), Blackman-Harris window, Video filter off
% Averaging: 1 spectra per frame, 51 frame averages
% Output A (off) - 10.000 000 000 000 MHz, 1.000 Vpp
% Output B (off) - 20.000 000 000 000 MHz, 1.000 Vpp
% Internal 10 MHz clock
% Acquired 2024-04-22 T 11:30:06 -0700
% Frequency (Hz), Input A (V/rtHz)
8.114147931337e+02, 1.006835e-06
8.137430995703e+02, 1.169313e-06
8.160714060068e+02, 1.191296e-06
8.183997124434e+02, 1.141091e-06
8.207280188799e+02, 1.157749e-06
8.230563253164e+02, 1.133409e-06
8.253846317530e+02, 1.315282e-06
8.277129381895e+02, 1.477112e-06
8.300412446260e+02, 5.936737e-06
8.323695510626e+02, 2.563900e-05
8.346978574991e+02, 5.334253e-05
8.370261639357e+02, 6.219323e-05
8.393544703722e+02, 4.554320e-05
8.416827768087e+02, 2.340217e-05
8.440110832453e+02, 9.300083e-06
8.463393896818e+02, 2.734873e-06
8.486676961184e+02, 1.381182e-06
8.509960025549e+02, 1.421399e-06
8.533243089914e+02, 1.413518e-06
8.556526154280e+02, 1.465017e-06
8.579809218645e+02, 1.500539e-06
8.603092283010e+02, 1.453752e-06
8.626375347376e+02, 1.481194e-06
8.649658411741e+02, 1.555754e-06
8.672941476107e+02, 1.570106e-06
8.696224540472e+02, 1.485258e-06
8.719507604837e+02, 1.405306e-06
8.742790669203e+02, 1.213777e-06
8.766073733568e+02, 1.013306e-06
8.789356797934e+02, 1.091318e-06
8.812639862299e+02, 1.106582e-06
8.835922926664e+02, 1.015927e-06
8.859205991030e+02, 9.497452e-07
8.882489055395e+02, 9.537934e-07
8.905772119761e+02, 1.016674e-06
8.929055184126e+02, 1.117615e-06
8.952338248491e+02, 1.147446e-06
8.975621312857e+02, 1.070628e-06
8.998904377222e+02, 1.112239e-06
9.022187441587e+02, 1.054037e-06
9.045470505953e+02, 1.114180e-06
9.068753570318e+02, 1.112654e-06
9.092036634684e+02, 1.041345e-06
9.115319699049e+02, 1.062250e-06
9.138602763414e+02, 1.009523e-06
9.161885827780e+02, 1.007151e-06
9.185168892145e+02, 1.032187e-06
9.208451956511e+02, 1.075091e-06
9.231735020876e+02, 1.023327e-06
9.255018085241e+02, 9.765399e-07
9.278301149607e+02, 9.400061e-07
9.301584213972e+02, 8.842100e-07
9.324867278337e+02, 9.467422e-07
9.348150342703e+02, 1.042706e-06
9.371433407068e+02, 1.145073e-06
9.394716471434e+02, 1.135550e-06
9.417999535799e+02, 1.106299e-06
9.441282600164e+02, 1.075987e-06
9.464565664530e+02, 1.050437e-06
9.487848728895e+02, 1.110514e-06
9.511131793261e+02, 1.111509e-06
9.534414857626e+02, 1.028852e-06
9.557697921991e+02, 1.002986e-06
9.580980986357e+02, 1.013240e-06
9.604264050722e+02, 9.675309e-07
9.627547115088e+02, 1.001626e-06
9.650830179453e+02, 1.077282e-06
9.674113243818e+02, 1.134471e-06
9.697396308184e+02, 1.183266e-06
9.720679372549e+02, 1.170358e-06
9.743962436914e+02, 1.204270e-06
9.767245501280e+02, 1.111957e-06
9.790528565645e+02, 9.722760e-07
9.813811630011e+02, 9.157664e-07
9.837094694376e+02, 9.545068e-07
9.860377758741e+02, 9.702187e-07
9.883660823107e+02, 9.839894e-07
9.906943887472e+02, 1.040963e-06
9.930226951838e+02, 1.161415e-06
9.953510016203e+02, 1.199907e-06
9.976793080568e+02, 1.250278e-06
1.000007614493e+03, 1.309342e-06
